hiragana	kanji	eng	lesson
やすい	安い	cheap	5
きらい（な）	嫌い	dislike	5
きれい（な）		beautiful;clean	5
げんき（な）	元気	healthy;energetic	5
しずか（な）	静か	quiet	5
すき（な）	好き	like	5
だいきらい（な）	大嫌い	hate	5
だいすき（な）	大好き	love	5
にぎやか（な）		lively	5
ひま（な）	暇	not busy	5
およぐ	泳ぐ	swim	5
きく	きく	ask(person に)	5
のる	乗る	ride(~に)	5
やる		do;perform(~を)	5
でかける	出かける	go out	5
いっしょに	一緒に	together	5
すごく		extremely	5
それから		and then	5
だいじょうぶ	大丈夫	It's okay	5
とても		very	5
どんな		what kind of	5
～まい	～枚	~token	5
～まで		until	5
おかね	お金	money	6
おふろ	お風呂	bath	6
かんじ	漢字	kanji	6
きょうかしょ	教科書	textbook	6
こんしゅう	今週	this week	6
シーディー		CD	6
しみんびょういん	市民病院	municipal hospital	6
シャワー		shower	6
つぎ	次	next	6
でんき	電気	electricity	6
でんしゃ	電車	train	6
にもつ	荷物	baggage	6
パソコン		personal computer	6
ページ		page	6
まど	窓	window	6
よる	夜	night	6
らいしゅう	来週	next week	6
らいねん	来年	next year	6
たいへん（な）	大変	tough(situation)	6
あそぶ	遊ぶ	play	6
いそぐ	急ぐ	hurry	6
おふろにはいる	お風呂に入る	take a bath	6
かえす	返す	return (a thing) (person に thing を)	6
けす	消す	turn off; erase	6
しぬ	死ぬ	die	6
すわる	座る	sit down (place に)	6
たつ	立つ	stand up	6
たばこをすう	たばこをすう	smoke (v.)	6
つかう	使う	use	6
てつだう	手伝う	help	6
はいる	入る	enter	6
もつ	持つ	carry; hold	6
やすむ	休む	absent; rest	6
あける	開ける	open	6
おしえる	教える	teach	6
おりる	降りる	get off	6
かりる	借りる	borrow	6
しめる	閉める	close	6
シャワーをあびる	シャワーを浴びる	take a shower	6
つける		turn on	6
でんわをかける	電話をかける	make a phone call	6
わすれる	忘れる	forget	6
つれてくる	連れてくる	bring (a person)	6
もってくる	持ってくる	bring (a thing)	6
あとで	後で	later on	6
おそく	遅く	late	6
～から		because	6
けっこうです	結構です	it's fine/not necessary	6
すぐ		right away	6
ほんとうですか	本当ですか	really?	6
